,correlation,mse,frac,label
b11_frac_0.5_026,0.8677102557121221,0.054973693700017624,0.5,True-True
b11_frac_0.5_027,0.9310916948805166,0.030660270193936818,0.5,True-True
b11_frac_0.5_028,0.9071272991974854,0.03547923712892224,0.5,True-True
b11_frac_0.5_029,0.8828553379576802,0.046493595893423494,0.5,True-True
b11_frac_0.5_030,0.27936272230053155,0.24368553708794077,0.5,False-False
b11_frac_0.5_031,0.5678848192654592,0.16275217406961903,0.5,False-False
b11_frac_0.5_032,0.8717203601980424,0.0507553620387846,0.5,True-True
b11_frac_0.5_033,0.8864894472559115,0.05077145059456297,0.5,False-True
b11_frac_0.5_034,0.9016913907705182,0.04455164511287432,0.5,True-True
b11_frac_0.5_035,0.9013375730949452,0.03993071487127243,0.5,True-True
b11_frac_0.5_036,0.907975567446059,0.040481131732429336,0.5,True-True
b11_frac_0.5_037,0.9207847736339146,0.03162244122606454,0.5,True-True
b11_frac_0.5_038,0.8655864067393209,0.06453097748875901,0.5,True-True
b11_frac_0.5_039,0.927528054736125,0.026251905009077914,0.5,True-True
b11_frac_0.5_040,0.7753570282786199,0.08631537648425254,0.5,False-False
b11_frac_0.5_041,0.75399889297405,0.09871823378156158,0.5,False-False
b11_frac_0.5_042,0.2380570489543005,0.22122204180577792,0.5,False-False
b11_frac_0.5_043,0.5377737679313913,0.15306830303852395,0.5,False-False
b11_frac_0.5_044,0.3056919184551739,0.22946550465097207,0.5,False-False
b11_frac_0.5_045,0.8846634949638806,0.053585664558989526,0.5,True-True
b11_frac_0.5_046,0.6922342417504195,0.1115856028305636,0.5,False-False
b11_frac_0.5_047,0.9051351591518323,0.03734747158404724,0.5,True-True
b11_frac_0.5_048,0.6090044645784949,0.1463413950626181,0.5,False-False
b11_frac_0.5_049,0.8699340783918811,0.047659295375205885,0.5,True-True
b11_frac_0.6_000,0.9188498957460197,0.03619963848742857,0.6,True-True
b11_frac_0.6_001,0.902140273656111,0.04724105880659177,0.6,False-True
b11_frac_0.6_002,0.709715998574925,0.105142589480101,0.6,False-False
b11_frac_0.6_003,0.6017655820597221,0.1400198017846784,0.6,False-False
b11_frac_0.6_004,0.8207488405496933,0.06765377143174861,0.6,True-True
b11_frac_0.6_005,0.9024063824408665,0.03415168460032312,0.6,True-True
b11_frac_0.6_006,0.7829267676065643,0.08427139907848613,0.6,False-False
b11_frac_0.6_007,0.9200249433657303,0.03753531797078979,0.6,False-True
b11_frac_0.6_008,0.38440283885309867,0.20560714422086038,0.6,False-False
b11_frac_0.6_009,0.9469718771658591,0.02597270031176758,0.6,True-True
b11_frac_0.6_010,0.9073434142857355,0.03470644258587086,0.6,False-True
b11_frac_0.6_011,0.2880121043385518,0.2606381933094499,0.6,False-False
b11_frac_0.6_012,0.8792345824387457,0.05399762867297613,0.6,False-True
b11_frac_0.6_013,0.8990695551037048,0.04046911575434646,0.6,True-True
b11_frac_0.6_014,0.36913220381863565,0.5203650921023725,0.6,False-False
b11_frac_0.6_015,0.8659242919668856,0.05281622050161475,0.6,True-True
b11_frac_0.6_016,0.9100429217426649,0.0445853007081312,0.6,True-True
b11_frac_0.6_017,0.8807009106738843,0.055227186428216286,0.6,True-True
b11_frac_0.6_018,0.9048257418621297,0.03545244002369893,0.6,True-True
b11_frac_0.6_019,0.7905356879355271,0.09758284332395835,0.6,False-False
b11_frac_0.6_020,0.8778086248495056,0.050498533639906265,0.6,True-True
b11_frac_0.6_021,0.9157929994195442,0.031124260138040826,0.6,True-True
b11_frac_0.6_022,0.9055053847810071,0.040546775025413734,0.6,True-True
b11_frac_0.6_023,0.9254356272168448,0.03571955146469213,0.6,True-True
b11_frac_0.6_024,0.8755403277864471,0.05538805120011535,0.6,True-True
b11_frac_0.6_025,0.9308463411150153,0.03092287208414794,0.6,True-True
b11_frac_0.6_026,0.9192759855248385,0.03299408022211224,0.6,True-True
b11_frac_0.6_027,0.8322835923854276,0.06427002253291549,0.6,False-True
b11_frac_0.6_028,0.9090212056968398,0.039704958497812526,0.6,True-True
b11_frac_0.6_029,0.9307396964593091,0.0247499816451707,0.6,True-True
b11_frac_0.6_030,0.1820705730536037,0.39789897195059104,0.6,False-False
b11_frac_0.6_031,0.9009231597752351,0.04538897297093886,0.6,False-True
b11_frac_0.6_032,0.8800523991543698,0.04170024288282205,0.6,True-True
b11_frac_0.6_033,0.8797659102067906,0.051915395071712486,0.6,True-True
b11_frac_0.6_034,0.8909096474172638,0.0468822806774878,0.6,True-True
b11_frac_0.6_035,0.8890563226614712,0.04529590203924426,0.6,False-True
b11_frac_0.6_036,0.9326391084381959,0.03260028911392101,0.6,True-True
b11_frac_0.6_037,0.9142763056660306,0.03621721609375287,0.6,True-True
b11_frac_0.6_038,0.9072378537720162,0.0467714668081222,0.6,True-True
b11_frac_0.6_039,0.9306665703903911,0.02464358729296796,0.6,True-True
b11_frac_0.6_040,0.8526451145267334,0.05840909560914661,0.6,False-False
b11_frac_0.6_041,0.8926018568269424,0.0493608446056638,0.6,True-True
b11_frac_0.6_042,0.1202825678745143,0.8075168856043708,0.6,False-False
b11_frac_0.6_043,0.9273902780171421,0.02914847755095352,0.6,True-True
b11_frac_0.6_044,0.3488638120062044,0.2203838690795883,0.6,False-False
b11_frac_0.6_045,0.8905484913173383,0.04600847409144077,0.6,True-True
b11_frac_0.6_046,0.6043351698691009,0.16169670177784273,0.6,False-False
b11_frac_0.6_047,0.8963637329075508,0.04629567161678112,0.6,True-True
b11_frac_0.6_048,0.6349410717564139,0.13471096357960582,0.6,False-False
b11_frac_0.6_049,0.8595491032431795,0.05438586736112981,0.6,True-True
b11_frac_0.7_000,0.9324998498666343,0.028827518148431763,0.7,True-True
b11_frac_0.7_001,0.8613210683937607,0.0837213051081903,0.7,True-True
b11_frac_0.7_002,0.864197019281313,0.053616922919665876,0.7,False-True
b11_frac_0.7_003,0.718152704051307,0.09279167496268782,0.7,False-False
b11_frac_0.7_004,0.9119957332036581,0.0371738379448544,0.7,True-True
b11_frac_0.7_005,0.8592311749345428,0.050712384695644944,0.7,False-True
b11_frac_0.7_006,0.925724785006153,0.03172772790417537,0.7,True-True
b11_frac_0.7_007,0.9126263859696319,0.042526586444202576,0.7,True-True
b11_frac_0.7_008,0.23672845020138508,0.2765903929295532,0.7,True-False
b11_frac_0.7_009,0.8682825782314694,0.06288954984530368,0.7,True-True
b11_frac_0.7_010,0.8445647196461735,0.0577856054905308,0.7,False-True
b11_frac_0.7_011,0.17358561681500762,0.3877268225220131,0.7,False-False
b11_frac_0.7_012,0.9028480193704866,0.04274017122530562,0.7,False-True
b11_frac_0.7_013,0.9104029004511406,0.038416410654286165,0.7,True-True
b11_frac_0.7_014,0.09239043389699657,0.5651556018298406,0.7,False-False
b11_frac_0.7_015,0.8992370608843995,0.039833315229441564,0.7,True-True
b11_frac_0.7_016,0.931324791672778,0.03630695658329783,0.7,True-True
b11_frac_0.7_017,0.8905371521751622,0.050917120177360074,0.7,False-True
b11_frac_0.7_018,0.9305181255952053,0.027083787761589595,0.7,False-True
b11_frac_0.7_019,0.6824134187051107,0.13142858108048258,0.7,False-False
b11_frac_0.7_020,0.4570555812034679,0.1832738434756283,0.7,False-False
b11_frac_0.7_021,0.9215986177307977,0.026852164770623504,0.7,True-True
b11_frac_0.7_022,0.9150313109572545,0.037208972347855473,0.7,True-True
b11_frac_0.7_023,0.9191005777283355,0.0339101420318974,0.7,True-True
b11_frac_0.7_024,0.921037824300769,0.036366265799588404,0.7,True-True
b11_frac_0.7_025,0.9326548966759636,0.026399943665087282,0.7,True-True
b11_frac_0.7_026,0.923407675480975,0.03563326979118405,0.7,False-True
b11_frac_0.7_027,0.9176731558340182,0.03629941260858603,0.7,True-True
b11_frac_0.7_028,0.8026117993150994,0.07158070930896816,0.7,False-False
b11_frac_0.7_029,0.9407121423090405,0.020264950030960356,0.7,False-True
b11_frac_0.7_030,0.38082791743467437,0.25772373277262356,0.7,False-False
b11_frac_0.7_031,0.9178231121261979,0.03759213184332149,0.7,True-True
b11_frac_0.7_032,0.8834384839892153,0.04459099014568116,0.7,True-True
b11_frac_0.7_033,0.908092856514079,0.04252420276326081,0.7,False-True
b11_frac_0.7_034,0.9281994553767999,0.030821742337563192,0.7,True-True
b11_frac_0.7_035,0.9389054847820215,0.03148055162745884,0.7,True-True
b11_frac_0.7_036,0.9142943598310066,0.039632786222734084,0.7,True-True
b11_frac_0.7_037,0.9108075703926976,0.039030049173425015,0.7,True-True
b11_frac_0.7_038,0.929908590333441,0.03510261147766731,0.7,True-True
b11_frac_0.7_039,0.9350839884021918,0.027213536268919293,0.7,False-True
b11_frac_0.7_040,0.829145078167872,0.06561068144786321,0.7,False-False
b11_frac_0.7_041,0.9226307854099244,0.03000309030343232,0.7,False-True
b11_frac_0.7_042,0.5666363016273598,0.17139247332229496,0.7,False-False
b11_frac_0.7_043,0.9346149363587378,0.02510735839722026,0.7,True-True
b11_frac_0.7_044,0.5696674793102816,0.1673951213478644,0.7,False-False
b11_frac_0.7_045,0.9351080171009033,0.03200185488183068,0.7,True-True
b11_frac_0.7_046,0.7280793757540018,0.10450677640927175,0.7,False-False
b11_frac_0.7_047,0.9175905261555454,0.03341725350533852,0.7,True-True
b11_frac_0.7_048,0.8464613323069214,0.06185269477089287,0.7,False-True
b11_frac_0.7_049,0.8802520252878525,0.04869452358599782,0.7,True-True
b11_frac_0.8_000,0.9023447518323641,0.039847150356854204,0.8,True-True
b11_frac_0.8_001,0.9192964239749056,0.0436797796593444,0.8,True-True
b11_frac_0.8_002,0.8772361428159675,0.0453967232963626,0.8,True-True
b11_frac_0.8_003,0.6025112325572963,0.12055171987966899,0.8,False-False
b11_frac_0.8_004,0.8798279759324599,0.04445450966554944,0.8,True-True
b11_frac_0.8_005,0.8921647139300076,0.0423882313742665,0.8,False-True
b11_frac_0.8_006,0.6930251180936243,0.13169192085581244,0.8,False-False
b11_frac_0.8_007,0.90757348323516,0.04611003091197249,0.8,True-True
b11_frac_0.8_008,0.4439042520124986,0.19463369635825417,0.8,False-False
b11_frac_0.8_009,0.9499561767371046,0.02619247183242255,0.8,True-True
b11_frac_0.8_010,0.8619719855270048,0.0528322613278744,0.8,False-True
b11_frac_0.8_011,0.29430586733133773,0.28217171808736174,0.8,True-False
b11_frac_0.8_012,0.9205282102651965,0.037879998999624825,0.8,True-True
b11_frac_0.8_013,0.8993937403578425,0.05065810771167001,0.8,True-True
b11_frac_0.8_014,0.5598940805305961,0.14733834143429772,0.8,False-False
b11_frac_0.8_015,0.9400050697363606,0.025554365819898065,0.8,True-True
b11_frac_0.8_016,0.9423876414272115,0.03521085036166407,0.8,True-True
b11_frac_0.8_017,0.8538613227762556,0.07644095070732222,0.8,False-True
b11_frac_0.8_018,0.8820962123327165,0.04894558972752611,0.8,False-True
b11_frac_0.8_019,0.8393574775701388,0.07124542194757556,0.8,True-True
b11_frac_0.8_020,0.9365270026150809,0.02934398755278034,0.8,True-True
b11_frac_0.8_021,0.9316733036938193,0.023999176758746105,0.8,False-True
b11_frac_0.8_022,0.9173837717930297,0.03429034572614335,0.8,False-True
b11_frac_0.8_023,0.9334369341267406,0.02549706862646671,0.8,True-True
b11_frac_0.8_024,0.9015431584514036,0.04335561378935437,0.8,True-True
b11_frac_0.8_025,0.9366891355228392,0.027532585689735375,0.8,True-True
b11_frac_0.8_026,0.8932421128177401,0.05365347372772279,0.8,True-True
b11_frac_0.8_027,0.9349896059958486,0.027107907196931597,0.8,True-True
b11_frac_0.8_028,0.9566467983989592,0.018261759758450256,0.8,True-True
b11_frac_0.8_029,0.9305105596259888,0.02673442904243359,0.8,False-True
b11_frac_0.8_030,0.2681007865920264,0.3139888837123177,0.8,False-False
b11_frac_0.8_031,0.9129333039507408,0.04980689436537896,0.8,True-True
b11_frac_0.8_032,0.89108975085829,0.04335454559273654,0.8,False-True
b11_frac_0.8_033,0.9306936926286338,0.03552385820812599,0.8,True-True
b11_frac_0.8_034,0.9191641841803614,0.042052682486384725,0.8,False-True
b11_frac_0.8_035,0.9292067221667898,0.03761790322945441,0.8,True-True
b11_frac_0.8_036,0.9014233304236333,0.05604733863232861,0.8,False-True
b11_frac_0.8_037,0.9365000042704881,0.02699763722021839,0.8,True-True
b11_frac_0.8_038,0.9291058998751784,0.03474340707229292,0.8,True-True
b11_frac_0.8_039,0.8945730431861514,0.04308762347113213,0.8,True-True
b11_frac_0.8_040,0.8230999379545747,0.06798581632632048,0.8,False-False
b11_frac_0.8_041,0.9385230686748304,0.02386252702014136,0.8,True-True
b11_frac_0.8_042,0.6891276263814401,0.08868886864429076,0.8,False-False
b11_frac_0.8_043,0.9245897319876275,0.033010545457274706,0.8,True-True
b11_frac_0.8_044,0.3718556404463621,0.19461345498863972,0.8,False-False
b11_frac_0.8_045,0.9094760860096633,0.03727450947770518,0.8,True-True
b11_frac_0.8_046,0.7591176746922188,0.09825319444534436,0.8,False-False
b11_frac_0.8_047,0.8955123373183106,0.04042729426098242,0.8,True-True
b11_frac_0.8_048,0.8678138561305043,0.04607747187425425,0.8,True-True
b11_frac_0.8_049,0.9009840041777558,0.040310438506229104,0.8,True-True
b11_frac_0.9_000,0.8955092383315885,0.056327477475338714,0.9,False-True
b11_frac_0.9_001,0.8950148599924489,0.046747144608770795,0.9,True-True
b11_frac_0.9_002,0.8796882063871025,0.052492535378880247,0.9,True-True
b11_frac_0.9_003,0.7503780116175184,0.09719499699620866,0.9,False-False
b11_frac_0.9_004,0.9052905004879909,0.02938509191514959,0.9,False-True
b11_frac_0.9_005,0.16505237036537732,0.49880536199921505,0.9,False-False
b11_frac_0.9_006,0.9093842691573226,0.043281326320474774,0.9,False-True
b11_frac_0.9_007,0.9127411727862893,0.04148558553350587,0.9,False-True
b11_frac_0.9_008,0.9342566384549712,0.032688418277189504,0.9,True-True
b11_frac_0.9_009,0.9618507161642084,0.027875067190205893,0.9,True-True
b11_frac_0.9_010,0.909266828396036,0.04930257817522409,0.9,False-True
b11_frac_0.9_011,0.6264710281654919,0.14617438729094376,0.9,False-False
b11_frac_0.9_012,0.8945763294569277,0.030710225531646373,0.9,True-True
b11_frac_0.9_013,0.9401332147074728,0.028973689946464366,0.9,True-True
b11_frac_0.9_014,0.6162215242649841,0.15485668696679886,0.9,False-False
b11_frac_0.9_015,0.8982662431554685,0.02450742156542849,0.9,True-True
b11_frac_0.9_016,0.9372919468882143,0.04269729270340801,0.9,True-True
b11_frac_0.9_017,0.9481404031579573,0.028875484727541305,0.9,True-True
b11_frac_0.9_018,0.9430104776426627,0.020789200746926834,0.9,True-True
b11_frac_0.9_019,0.8680085979033695,0.06888708007795916,0.9,True-True
b11_frac_0.9_020,0.9315586467976794,0.03363119318597337,0.9,True-True
b11_frac_0.9_021,0.9430947637112577,0.021655538487592194,0.9,False-True
b11_frac_0.9_022,0.9181219780859236,0.03750583147188287,0.9,False-True
b11_frac_0.9_023,0.9367717635697769,0.02086943503152536,0.9,True-True
b11_frac_0.9_024,0.9399862125586593,0.02801264984995358,0.9,False-True
b11_frac_0.9_025,0.9328151874438835,0.03208766329114316,0.9,True-True
b11_frac_0.9_026,0.9028469697205971,0.05695950870094826,0.9,True-True
b11_frac_0.9_027,0.9106274530558852,0.031087093795926075,0.9,True-True
b11_frac_0.9_028,0.915157902081689,0.030797133496580083,0.9,False-True
b11_frac_0.9_029,0.9556991721153043,0.020965972289406616,0.9,True-True
b11_frac_0.9_030,0.530928386617309,0.20624996807056475,0.9,False-False
b11_frac_0.9_031,0.8956137562458524,0.04493062717817701,0.9,True-True
b11_frac_0.9_032,0.8862608446252328,0.04948579908959434,0.9,True-True
b11_frac_0.9_033,0.9182507136925829,0.03768132959844385,0.9,False-True
b11_frac_0.9_034,0.9106520795617823,0.03936377254191214,0.9,True-True
b11_frac_0.9_035,0.9496708305952873,0.029516367467042174,0.9,True-True
b11_frac_0.9_036,0.9235514970794787,0.03490806792107124,0.9,False-True
b11_frac_0.9_037,0.922424507642075,0.027194359532408497,0.9,True-True
b11_frac_0.9_038,0.9062194955608606,0.046980415679105283,0.9,False-True
b11_frac_0.9_039,0.8860524098480302,0.04122994915967219,0.9,False-True
b11_frac_0.9_040,0.8851784854751041,0.028281626274253874,0.9,False-True
b11_frac_0.9_041,0.9177922736982839,0.042391990986078126,0.9,True-True
b11_frac_0.9_043,0.9379861975882796,0.026342944430794366,0.9,True-True
b11_frac_0.9_044,0.49842368244967716,0.20246030789153385,0.9,False-False
b11_frac_0.9_045,0.9319520320690388,0.027182880844775846,0.9,True-True
b11_frac_0.9_046,0.8199079627531249,0.0762172878675998,0.9,False-True
b11_frac_0.9_047,0.898250847242641,0.05099869510737788,0.9,True-True
b11_frac_0.9_048,0.8316638324014247,0.04141678721649962,0.9,False-False
b11_frac_0.9_049,0.8896439813029781,0.0458751785147372,0.9,False-True
